#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
1hom_A               -             68 phmmer_results       -             57     2e-28  102.5   9.2   1   1   1.6e-31   2.4e-28  102.3   9.2     1    57     3    59     3    59 0.99 mol:protein length:68  ANTENNAPEDIA PROTEIN
4xic_A               -             61 phmmer_results       -             57     5e-28  101.2   9.9   1   1   3.7e-31   5.6e-28  101.1   9.9     1    57     3    59     3    59 0.99 mol:protein length:61  Homeotic protein antennapedia
4xic_D               -             61 phmmer_results       -             57     5e-28  101.2   9.9   1   1   3.7e-31   5.6e-28  101.1   9.9     1    57     3    59     3    59 0.99 mol:protein length:61  Homeotic protein antennapedia
4xid_A               -             61 phmmer_results       -             57     5e-28  101.2   9.9   1   1   3.7e-31   5.6e-28  101.1   9.9     1    57     3    59     3    59 0.99 mol:protein length:61  Homeotic protein antennapedia
4xid_D               -             61 phmmer_results       -             57     5e-28  101.2   9.9   1   1   3.7e-31   5.6e-28  101.1   9.9     1    57     3    59     3    59 0.99 mol:protein length:61  Homeotic protein antennapedia
5jlw_A               -             61 phmmer_results       -             57     5e-28  101.2   9.9   1   1   3.7e-31   5.6e-28  101.1   9.9     1    57     3    59     3    59 0.99 mol:protein length:61  Homeotic protein antennapedia
5jlw_D               -             61 phmmer_results       -             57     5e-28  101.2   9.9   1   1   3.7e-31   5.6e-28  101.1   9.9     1    57     3    59     3    59 0.99 mol:protein length:61  Homeotic protein antennapedia
5jlx_A               -             61 phmmer_results       -             57     5e-28  101.2   9.9   1   1   3.7e-31   5.6e-28  101.1   9.9     1    57     3    59     3    59 0.99 mol:protein length:61  Homeotic protein antennapedia
5jlx_D               -             61 phmmer_results       -             57     5e-28  101.2   9.9   1   1   3.7e-31   5.6e-28  101.1   9.9     1    57     3    59     3    59 0.99 mol:protein length:61  Homeotic protein antennapedia
9ant_A               -             62 phmmer_results       -             57   5.2e-28  101.2   9.9   1   1     4e-31   5.9e-28  101.0   9.9     1    57     4    60     4    60 0.99 mol:protein length:62  ANTENNAPEDIA HOMEODOMAIN
